chunk_id,content_type,title,text_for_embedding,accessory,source,image_ids,image_paths,metadata_json
CHK-STD-EARRING-001,checklist_item,EARRING - STD-EARRING-001,"Accessory: EARRING
Standard ID: STD-EARRING-001
Requirement type: Dimension/geometry
Requirement: Sharp point/thin steel, R 0.8mm, Ø 2mm hole.
Applicability / remark: 
Source: EARRING!C6",EARRING,EARRING!C6,IMG-001; IMG-002; IMG-003,images/original/image3.png; images/original/image1.png; images/original/image2.png,"{""accessory"": ""EARRING"", ""standard_id"": ""STD-EARRING-001"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Dimension/geometry"", ""source_sheet"": ""EARRING"", ""source_cell"": ""C6"", ""source_row"": 6, ""source"": ""EARRING!C6"", ""image_ids"": [""IMG-001"", ""IMG-002"", ""IMG-003""], ""review_flag"": """"}"
CHK-STD-EARRING-002,checklist_item,EARRING - STD-EARRING-002,"Accessory: EARRING
Standard ID: STD-EARRING-002
Requirement type: Assembly/fit
Requirement: Full R at end fo easy assembly
Applicability / remark: 
Source: EARRING!C7",EARRING,EARRING!C7,IMG-001; IMG-002; IMG-003,images/original/image3.png; images/original/image1.png; images/original/image2.png,"{""accessory"": ""EARRING"", ""standard_id"": ""STD-EARRING-002"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Assembly/fit"", ""source_sheet"": ""EARRING"", ""source_cell"": ""C7"", ""source_row"": 7, ""source"": ""EARRING!C7"", ""image_ids"": [""IMG-001"", ""IMG-002"", ""IMG-003""], ""review_flag"": """"}"
CHK-STD-EARRING-003,checklist_item,EARRING - STD-EARRING-003,"Accessory: EARRING
Standard ID: STD-EARRING-003
Requirement type: Assembly/fit
Requirement: Post location/angel depends on design request
Applicability / remark: 
Source: EARRING!C8",EARRING,EARRING!C8,IMG-001; IMG-002; IMG-003,images/original/image3.png; images/original/image1.png; images/original/image2.png,"{""accessory"": ""EARRING"", ""standard_id"": ""STD-EARRING-003"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Assembly/fit"", ""source_sheet"": ""EARRING"", ""source_cell"": ""C8"", ""source_row"": 8, ""source"": ""EARRING!C8"", ""image_ids"": [""IMG-001"", ""IMG-002"", ""IMG-003""], ""review_flag"": """"}"
CHK-STD-EARRING-004,checklist_item,EARRING - STD-EARRING-004,"Accessory: EARRING
Standard ID: STD-EARRING-004
Requirement type: Safety/edge
Requirement: Make sure mo sharp poimt/thin steel
Applicability / remark: 
Source: EARRING!C9",EARRING,EARRING!C9,IMG-001; IMG-002; IMG-003,images/original/image3.png; images/original/image1.png; images/original/image2.png,"{""accessory"": ""EARRING"", ""standard_id"": ""STD-EARRING-004"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Safety/edge"", ""source_sheet"": ""EARRING"", ""source_cell"": ""C9"", ""source_row"": 9, ""source"": ""EARRING!C9"", ""image_ids"": [""IMG-001"", ""IMG-002"", ""IMG-003""], ""review_flag"": """"}"
CHK-STD-EARRING-005,checklist_item,EARRING - STD-EARRING-005,"Accessory: EARRING
Standard ID: STD-EARRING-005
Requirement type: Assembly/fit
Requirement: Post has angle (25 for EAH and 35 for MH) at front view
Applicability / remark: 
Source: EARRING!C10",EARRING,EARRING!C10,IMG-001; IMG-002; IMG-003,images/original/image3.png; images/original/image1.png; images/original/image2.png,"{""accessory"": ""EARRING"", ""standard_id"": ""STD-EARRING-005"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Assembly/fit"", ""source_sheet"": ""EARRING"", ""source_cell"": ""C10"", ""source_row"": 10, ""source"": ""EARRING!C10"", ""image_ids"": [""IMG-001"", ""IMG-002"", ""IMG-003""], ""review_flag"": """"}"
CHK-STD-HEADBAND-001,checklist_item,HEADBAND - STD-HEADBAND-001,"Accessory: HEADBAND
Standard ID: STD-HEADBAND-001
Requirement type: General design
Requirement: Get SG head to double check.
Applicability / remark: 
Source: HEADBAND!C5",HEADBAND,HEADBAND!C5,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,images/original/image6.png; images/original/image7.png; images/original/image11.JPG; images/original/image9.png; images/original/image10.jpg; images/original/image8.jpeg,"{""accessory"": ""HEADBAND"", ""standard_id"": ""STD-HEADBAND-001"", ""content_type"": ""checklist_item"", ""requirement_type"": ""General design"", ""source_sheet"": ""HEADBAND"", ""source_cell"": ""C5"", ""source_row"": 5, ""source"": ""HEADBAND!C5"", ""image_ids"": [""IMG-006"", ""IMG-007"", ""IMG-008"", ""IMG-009"", ""IMG-010"", ""IMG-011""], ""review_flag"": """"}"
CHK-STD-HEADBAND-002,checklist_item,HEADBAND - STD-HEADBAND-002,"Accessory: HEADBAND
Standard ID: STD-HEADBAND-002
Requirement type: Gate/runner/trimming
Requirement: Use one gate design to avoid weldline
Applicability / remark: 
Source: HEADBAND!C6",HEADBAND,HEADBAND!C6,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,images/original/image6.png; images/original/image7.png; images/original/image11.JPG; images/original/image9.png; images/original/image10.jpg; images/original/image8.jpeg,"{""accessory"": ""HEADBAND"", ""standard_id"": ""STD-HEADBAND-002"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Gate/runner/trimming"", ""source_sheet"": ""HEADBAND"", ""source_cell"": ""C6"", ""source_row"": 6, ""source"": ""HEADBAND!C6"", ""image_ids"": [""IMG-006"", ""IMG-007"", ""IMG-008"", ""IMG-009"", ""IMG-010"", ""IMG-011""], ""review_flag"": """"}"
CHK-STD-HEADBAND-003,checklist_item,HEADBAND - STD-HEADBAND-003,"Accessory: HEADBAND
Standard ID: STD-HEADBAND-003
Requirement type: Material/process
Requirement: PPCO is 1st option.
Applicability / remark: 
Source: HEADBAND!C7",HEADBAND,HEADBAND!C7,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,images/original/image6.png; images/original/image7.png; images/original/image11.JPG; images/original/image9.png; images/original/image10.jpg; images/original/image8.jpeg,"{""accessory"": ""HEADBAND"", ""standard_id"": ""STD-HEADBAND-003"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Material/process"", ""source_sheet"": ""HEADBAND"", ""source_cell"": ""C7"", ""source_row"": 7, ""source"": ""HEADBAND!C7"", ""image_ids"": [""IMG-006"", ""IMG-007"", ""IMG-008"", ""IMG-009"", ""IMG-010"", ""IMG-011""], ""review_flag"": """"}"
CHK-STD-HEADBAND-004,checklist_item,HEADBAND - STD-HEADBAND-004,"Accessory: HEADBAND
Standard ID: STD-HEADBAND-004
Requirement type: Dimension/geometry
Requirement: Sharp point/thin steel, R 0.8mm, Ø 2mm hole.
Applicability / remark: 
Source: HEADBAND!C8",HEADBAND,HEADBAND!C8,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,images/original/image6.png; images/original/image7.png; images/original/image11.JPG; images/original/image9.png; images/original/image10.jpg; images/original/image8.jpeg,"{""accessory"": ""HEADBAND"", ""standard_id"": ""STD-HEADBAND-004"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Dimension/geometry"", ""source_sheet"": ""HEADBAND"", ""source_cell"": ""C8"", ""source_row"": 8, ""source"": ""HEADBAND!C8"", ""image_ids"": [""IMG-006"", ""IMG-007"", ""IMG-008"", ""IMG-009"", ""IMG-010"", ""IMG-011""], ""review_flag"": """"}"
CHK-STD-HEADBAND-005,checklist_item,HEADBAND - STD-HEADBAND-005,"Accessory: HEADBAND
Standard ID: STD-HEADBAND-005
Requirement type: Mold/tooling
Requirement: Sticking slide, 3~10 degree draft.
Applicability / remark: 
Source: HEADBAND!C9",HEADBAND,HEADBAND!C9,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,images/original/image6.png; images/original/image7.png; images/original/image11.JPG; images/original/image9.png; images/original/image10.jpg; images/original/image8.jpeg,"{""accessory"": ""HEADBAND"", ""standard_id"": ""STD-HEADBAND-005"", ""content_type"": ""checklist_item"", ""requirement_type"": ""Mold/tooling"", ""source_sheet"": ""HEADBAND"", ""source_cell"": ""C9"", ""source_row"": 9, ""source"": ""HEADBAND!C9"", ""image_ids"": [""IMG-006"", ""IMG-007"", ""IMG-008"", ""IMG-009"", ""IMG-010"", ""IMG-011""], ""review_flag"": """"}"
