standard_id,accessory,seq,requirement_type,standard_text,applicability_remark,verification_status,header_status_set,evidence_image_ids,related_image_count,source_sheet,source_cell,source_row,review_flag,owner,last_reviewed,version,notes
STD-EARRING-001,EARRING,1,Dimension/geometry,"Sharp point/thin steel, R 0.8mm, Ø 2mm hole.",,,D/NY/NN,IMG-001; IMG-002; IMG-003,3,EARRING,C6,6,,,,v0.1,
STD-EARRING-002,EARRING,2,Assembly/fit,Full R at end fo easy assembly,,,D/NY/NN,IMG-001; IMG-002; IMG-003,3,EARRING,C7,7,,,,v0.1,
STD-EARRING-003,EARRING,3,Assembly/fit,Post location/angel depends on design request,,,D/NY/NN,IMG-001; IMG-002; IMG-003,3,EARRING,C8,8,,,,v0.1,
STD-EARRING-004,EARRING,4,Safety/edge,Make sure mo sharp poimt/thin steel,,,D/NY/NN,IMG-001; IMG-002; IMG-003,3,EARRING,C9,9,,,,v0.1,
STD-EARRING-005,EARRING,5,Assembly/fit,Post has angle (25 for EAH and 35 for MH) at front view,,,D/NY/NN,IMG-001; IMG-002; IMG-003,3,EARRING,C10,10,,,,v0.1,
STD-HEADBAND-001,HEADBAND,1,General design,Get SG head to double check.,,,D/NY/NN,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,6,HEADBAND,C5,5,,,,v0.1,
STD-HEADBAND-002,HEADBAND,2,Gate/runner/trimming,Use one gate design to avoid weldline,,,D/NY/NN,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,6,HEADBAND,C6,6,,,,v0.1,
STD-HEADBAND-003,HEADBAND,3,Material/process,PPCO is 1st option.,,,D/NY/NN,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,6,HEADBAND,C7,7,,,,v0.1,
STD-HEADBAND-004,HEADBAND,4,Dimension/geometry,"Sharp point/thin steel, R 0.8mm, Ø 2mm hole.",,,D/NY/NN,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,6,HEADBAND,C8,8,,,,v0.1,
STD-HEADBAND-005,HEADBAND,5,Mold/tooling,"Sticking slide, 3~10 degree draft.",,,D/NY/NN,IMG-006; IMG-007; IMG-008; IMG-009; IMG-010; IMG-011,6,HEADBAND,C9,9,,,,v0.1,
STD-BELT-001,BELT,1,Assembly/fit,"Post direction, outward is the 1st choice. Inward direction is ok for loose belt per design request, but not allowed for tight belt.",,,D/NY/NN,IMG-012; IMG-013; IMG-014; IMG-015,4,BELT,C5,5,,,,v0.1,
STD-BELT-002,BELT,2,Assembly/fit,Need to fit SG,,,D/NY/NN,IMG-012; IMG-013; IMG-014; IMG-015,4,BELT,C6,6,,,,v0.1,
STD-BELT-003,BELT,3,Assembly/fit,"Try to use 1 post, insead of 2 at every breakaway.",,,D/NY/NN,IMG-012; IMG-013; IMG-014; IMG-015,4,BELT,C7,7,,,,v0.1,
STD-BELT-004,BELT,4,Gate/runner/trimming,"Gate at hole side for PTMI, at post side for MCA",,,D/NY/NN,IMG-012; IMG-013; IMG-014; IMG-015,4,BELT,C8,8,,,,v0.1,
STD-BELT-005,BELT,5,Missing text,,,,D/NY/NN,IMG-012; IMG-013; IMG-014; IMG-015,4,BELT,C9,9,Missing checklist text - needs SME fill-in,,,v0.1,
STD-BRACELET-001,BRACELET,1,Missing text,,,,D/NY/NN,IMG-016; IMG-017,2,BRACELET,C5,5,Missing checklist text - needs SME fill-in,,,v0.1,
STD-BRACELET-002,BRACELET,2,Missing text,,,,D/NY/NN,IMG-016; IMG-017,2,BRACELET,C6,6,Missing checklist text - needs SME fill-in,,,v0.1,
