image_id,accessory,source_sheet,original_media,extracted_file,thumbnail_file,width_px,height_px,picture_name,description_from_excel,anchor,related_text_context,caption_status,suggested_alt_text,metadata_json
IMG-001,EARRING,EARRING,xl/media/image3.png,images/original/image3.png,images/thumbnails/IMG-001.png,2706,1437,Picture 9,,from R6C15 | to R54C44,"1. Sharp point/thin steel, R 0.8mm, Ø 2mm hole. | 2. Full R at end fo easy assembly | 3. Post location/angel depends on design request | 4. Make sure mo sharp poimt/thin steel",Needs caption for text-only RAG,Visual reference for EARRING accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""EARRING"", ""media_path"": ""xl/media/image3.png"", ""anchor"": {""from"": {""col"": 14, ""colOff"": 519546, ""row"": 5, ""rowOff"": 69273}, ""to"": {""col"": 43, ""colOff"": 62729, ""row"": 53, ""rowOff"": 17318}}}"
IMG-002,EARRING,EARRING,xl/media/image1.png,images/original/image1.png,images/thumbnails/IMG-002.png,511,675,Picture 1,,from R14C4 | to R44C10,"1. Sharp point/thin steel, R 0.8mm, Ø 2mm hole. | 2. Full R at end fo easy assembly | 3. Post location/angel depends on design request | 4. Make sure mo sharp poimt/thin steel",Needs caption for text-only RAG,Visual reference for EARRING accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""EARRING"", ""media_path"": ""xl/media/image1.png"", ""anchor"": {""from"": {""col"": 3, ""colOff"": 11206, ""row"": 13, ""rowOff"": 22412}, ""to"": {""col"": 9, ""colOff"": 655561, ""row"": 43, ""rowOff"": 33618}}}"
IMG-003,EARRING,EARRING,xl/media/image2.png,images/original/image2.png,images/thumbnails/IMG-003.png,244,349,Picture 4,,from R37C11 | to R54C15,"1. Sharp point/thin steel, R 0.8mm, Ø 2mm hole. | 2. Full R at end fo easy assembly | 3. Post location/angel depends on design request | 4. Make sure mo sharp poimt/thin steel",Needs caption for text-only RAG,Visual reference for EARRING accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""EARRING"", ""media_path"": ""xl/media/image2.png"", ""anchor"": {""from"": {""col"": 10, ""colOff"": 149678, ""row"": 36, ""rowOff"": 95250}, ""to"": {""col"": 14, ""colOff"": 24817, ""row"": 53, ""rowOff"": 181439}}}"
IMG-004,HANDRING,HANDRING,xl/media/image4.png,images/original/image4.png,images/thumbnails/IMG-004.png,1082,1067,Picture 1,,from R1C12 | to R38C27,,Needs caption for text-only RAG,Visual reference for HANDRING accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""HANDRING"", ""media_path"": ""xl/media/image4.png"", ""anchor"": {""from"": {""col"": 11, ""colOff"": 295274, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 26, ""colOff"": 95419, ""row"": 37, ""rowOff"": 161925}}}"
IMG-005,HANDRING,HANDRING,xl/media/image5.png,images/original/image5.png,images/thumbnails/IMG-005.png,509,529,Picture 2,,from R19C1 | to R46C4,,Needs caption for text-only RAG,Visual reference for HANDRING accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""HANDRING"", ""media_path"": ""xl/media/image5.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 142875, ""row"": 18, ""rowOff"": 123825}, ""to"": {""col"": 3, ""colOff"": 1275744, ""row"": 45, ""rowOff"": 18420}}}"
IMG-006,HEADBAND,HEADBAND,xl/media/image6.png,images/original/image6.png,images/thumbnails/IMG-006.png,158,165,Picture 2,,from R3C14 | to R10C16,"1. Get SG head to double check. | 2. Use one gate design to avoid weldline | 3. PPCO is 1st option. | 4. Sharp point/thin steel, R 0.8mm, Ø 2mm hole.",Needs caption for text-only RAG,Visual reference for HEADBAND accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""HEADBAND"", ""media_path"": ""xl/media/image6.png"", ""anchor"": {""from"": {""col"": 13, ""colOff"": 42862, ""row"": 2, ""rowOff"": 138113}, ""to"": {""col"": 15, ""colOff"": 338347, ""row"": 9, ""rowOff"": 162144}}}"
IMG-007,HEADBAND,HEADBAND,xl/media/image7.png,images/original/image7.png,images/thumbnails/IMG-007.png,615,158,Picture 3,,from R4C17 | to R10C26,"1. Get SG head to double check. | 2. Use one gate design to avoid weldline | 3. PPCO is 1st option. | 4. Sharp point/thin steel, R 0.8mm, Ø 2mm hole.",Needs caption for text-only RAG,Visual reference for HEADBAND accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""HEADBAND"", ""media_path"": ""xl/media/image7.png"", ""anchor"": {""from"": {""col"": 16, ""colOff"": 109538, ""row"": 3, ""rowOff"": 33338}, ""to"": {""col"": 25, ""colOff"": 481830, ""row"": 9, ""rowOff"": 181185}}}"
IMG-008,HEADBAND,HEADBAND,xl/media/image11.JPG,images/original/image11.JPG,images/thumbnails/IMG-008.png,1440,1028,Picture 7,,from R11C14 | extent 782x578px,"1. Get SG head to double check. | 2. Use one gate design to avoid weldline | 3. PPCO is 1st option. | 4. Sharp point/thin steel, R 0.8mm, Ø 2mm hole.",Needs caption for text-only RAG,Visual reference for HEADBAND accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""HEADBAND"", ""media_path"": ""xl/media/image11.JPG"", ""anchor"": {""from"": {""col"": 13, ""colOff"": 536865, ""row"": 10, ""rowOff"": 86592}, ""extent"": {""cx"": 7447602, ""cy"": 5507182, ""width_px"": 782, ""height_px"": 578}}}"
IMG-009,HEADBAND,HEADBAND,xl/media/image9.png,images/original/image9.png,images/thumbnails/IMG-009.png,901,779,Picture 5,,from R14C1 | to R53C14,"1. Get SG head to double check. | 2. Use one gate design to avoid weldline | 3. PPCO is 1st option. | 4. Sharp point/thin steel, R 0.8mm, Ø 2mm hole.",Needs caption for text-only RAG,Visual reference for HEADBAND accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""HEADBAND"", ""media_path"": ""xl/media/image9.png"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 13, ""rowOff"": 142875}, ""to"": {""col"": 13, ""colOff"": 570427, ""row"": 52, ""rowOff"": 132423}}}"
IMG-010,HEADBAND,HEADBAND,xl/media/image10.jpg,images/original/image10.jpg,images/thumbnails/IMG-010.png,549,506,Picture 6,,from R40C15 | to R58C21,"1. Get SG head to double check. | 2. Use one gate design to avoid weldline | 3. PPCO is 1st option. | 4. Sharp point/thin steel, R 0.8mm, Ø 2mm hole.",Needs caption for text-only RAG,Visual reference for HEADBAND accessory standard. Add a precise engineering caption before production RAG.,"{""sheet"": ""HEADBAND"", ""media_path"": ""xl/media/image10.jpg"", ""anchor"": {""from"": {""col"": 14, ""colOff"": 71438, ""row"": 39, ""rowOff"": 58449}, ""to"": {""col"": 20, ""colOff"": 59112, ""row"": 57, ""rowOff"": 3153}}}"
